"","Df","SumOfSqs","R2","F","Pr(>F)"
"md$patient_age:md$anatomical_site",3,0.098369670517936,0.0260980384800918,0.554427404690713,0.843
"md$sex:md$anatomical_site",1,0.0183542553771292,0.00486948935158231,0.310342673311594,0.888
"md$ethnicity_details:md$anatomical_site",1,0.055593912163411,0.0147493841471696,0.94000889527459,0.459
"md$TotalWeeklyAlcoholUnits:md$anatomical_site",3,0.167953953046142,0.0445591482252909,0.946615697751472,0.706
"md$smoking_status:md$anatomical_site",1,0.0227262358869038,0.00602940088709472,0.384266245322057,0.865
"md$diagnosis:md$anatomical_site",2,0.163627791468835,0.0434113927156793,1.38334912501509,0.228
"md$Progression:md$patient_age:md$sex",1,0.02272309714962,0.00602856816206899,0.384213174026083,0.728
"md$Progression:md$patient_age:md$ethnicity_details",1,0.0127613060149931,0.00338564776807698,0.215774366339875,0.888
"md$Progression:md$sex:md$ethnicity_details",1,0.0645911342011725,0.0171363988206874,1.09213829972083,0.517
"md$Progression:md$patient_age:md$TotalWeeklyAlcoholUnits",1,0.0226502492805976,0.00600924120408561,0.38298142683978,0.782
"md$Progression:md$sex:md$TotalWeeklyAlcoholUnits",1,0.0754331385619729,0.0200128448382422,1.27546018057357,0.401
"md$patient_age:md$sex:md$TotalWeeklyAlcoholUnits",1,0.0247616025189981,0.00656939534276187,0.418681213883541,0.724
"md$Progression:md$patient_age:md$smoking_status",1,0.0102629426818943,0.00272281762885663,0.173530824460007,0.993
"md$Progression:md$sex:md$smoking_status",1,0.0114952253952567,0.00304974930914339,0.194366859683592,0.959
"md$patient_age:md$sex:md$smoking_status",1,0.020434363336808,0.00542135393838648,0.345514149992029,0.84
"md$Progression:md$TotalWeeklyAlcoholUnits:md$smoking_status",1,0.0319900585848161,0.00848714624671529,0.540903463344921,0.587
"md$patient_age:md$TotalWeeklyAlcoholUnits:md$smoking_status",1,0.0172472957999861,0.00457580661900753,0.291625662604282,0.89
"md$sex:md$TotalWeeklyAlcoholUnits:md$smoking_status",1,0.0142795855762654,0.00378845605446232,0.241446175312672,0.835
"md$Progression:md$patient_age:md$diagnosis",1,0.0188925936654631,0.00501231359090599,0.319445158817801,0.809
"md$Progression:md$sex:md$diagnosis",1,0.0633335284252032,0.0168027487864724,1.07087408984323,0.334
"md$patient_age:md$sex:md$diagnosis",1,0.0170746781065962,0.00453001015368735,0.288706958721898,0.886
"md$Progression:md$TotalWeeklyAlcoholUnits:md$diagnosis",1,0.0199989399757796,0.00530583362026995,0.338151800111453,0.806
"md$patient_age:md$TotalWeeklyAlcoholUnits:md$diagnosis",1,0.0386754671140754,0.010260823520748,0.653943601041588,0.5
"md$sex:md$TotalWeeklyAlcoholUnits:md$diagnosis",1,0.0771808722518994,0.0204765286226088,1.3050117115087,0.196
"md$Progression:md$smoking_status:md$diagnosis",1,0.0343926662753997,0.00912457186409584,0.581527922267065,0.406
"md$patient_age:md$smoking_status:md$diagnosis",1,0.0221527844305864,0.00587726092266628,0.374570049300413,0.826
"md$sex:md$smoking_status:md$diagnosis",1,0.0192344340545922,0.00510300580917376,0.325225162311726,0.752
"md$TotalWeeklyAlcoholUnits:md$smoking_status:md$diagnosis",1,0.0165921049263247,0.00440198071776593,0.280547376774457,0.563
"md$Progression:md$patient_age:md$sex:md$TotalWeeklyAlcoholUnits",1,0.0791396911827906,0.0209962145335687,1.3381323743226,0.125
"md$Progression:md$patient_age:md$sex:md$smoking_status",1,0.0237929252461857,0.0063123996996176,0.402302347607365,0.649
"md$patient_age:md$sex:md$TotalWeeklyAlcoholUnits:md$smoking_status",1,0.0412926751756988,0.0109551838489164,0.698196627370782,0.494
"md$patient_age:md$sex:md$TotalWeeklyAlcoholUnits:md$diagnosis",1,0.0352100919816207,0.00934143959805538,0.59534935352046,0.76
"md$patient_age:md$sex:md$smoking_status:md$diagnosis",1,0.044808647453678,0.0118879914848727,0.757646396027547,0.221
"Residual",8,0.473135200680596,0.125525485737972,NA,NA
"Total",89,3.76923616665577,1,NA,NA
